Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Ford,Fiesta,2023,62941,2023-02-14,Electrique,Manuelle,150,Euro 1,Blanc,Berline,Allemagne,18000,22295.0
Audi,A4,2013,40592,2013-02-07,Essence,Manuelle,130,Euro 4,Bleu,SUV,USA,48000,30429.0
Audi,Q5,2010,236346,2010-01-02,Diesel,Automatique,150,Euro 4,Noir,Monospace,France,65000,23975.0
Citroen,C3,2007,218306,2007-04-17,Essence,Manuelle,110,Euro 3,Rouge,SUV,Allemagne,16000,4508.0
Mercedes,Classe A,2014,153153,2016-01-26,Diesel,Automatique,200,Euro 4,Gris,Berline,Espagne,38000,23100.0
Citroen,C4,2007,97738,2007-09-01,Diesel,Automatique,130,Euro 3,Rouge,Monospace,Allemagne,24000,10920.0
Audi,A4,2018,30879,2019-05-22,Essence,Automatique,110,Euro 5,Gris,Berline,Espagne,48000,39579.0
Volkswagen,Arteon,2014,82775,2014-04-08,Hybride,Manuelle,90,Euro 1,Bleu,Crossover,Japon,48000,32178.0
Tesla,Model 3,2009,22267,2012-04-08,Diesel,Automatique,90,Euro 3,Blanc,SUV,Italie,45000,25387.0
Toyota,Yaris,2017,66414,2017-08-05,Essence,Manuelle,130,Euro 5,Noir,Berline,Allemagne,19000,14089.0
Dacia,Duster,2015,177327,2015-02-18,Essence,Automatique,130,Euro 5,Bleu,SUV,Espagne,19900,12432.0
Renault,Megane,2017,74720,2018-03-12,Essence,Manuelle,150,Euro 5,Rouge,Berline,Japon,25000,18360.0
Hyundai,i30,2017,96747,2019-09-13,Diesel,Manuelle,90,Euro 5,Bleu,Break,USA,22000,16030.0
BMW,Serie 1,2020,116032,2021-01-19,Electrique,Automatique,200,Euro 1,Bleu,SUV,USA,35000,33880.0
Volkswagen,Tiguan,2010,124711,2013-01-05,Essence,Manuelle,200,Euro 4,Gris,Monospace,USA,40000,18860.0
Tesla,Model S,2016,88930,2017-08-08,Diesel,Manuelle,90,Euro 5,Rouge,Berline,Japon,95000,65212.0
Citroen,C4,2005,217556,2007-06-05,Diesel,Automatique,130,Euro 3,Noir,Monospace,Allemagne,24000,6006.0
Peugeot,3008,2022,146198,2022-12-08,Hybride,Manuelle,200,Euro 1,Rouge,Berline,Allemagne,35000,32000.0
Audi,Q5,2016,225759,2016-11-08,Essence,Manuelle,200,Euro 5,Blanc,Crossover,Espagne,65000,35640.0
Audi,Q5,2014,45118,2014-05-29,Hybride,Automatique,200,Euro 1,Gris,Monospace,Japon,65000,47520.0
Toyota,Yaris,2023,198057,2024-11-04,Diesel,Automatique,90,Euro 6,Bleu,Monospace,Japon,19000,17082.0
Volkswagen,Passat,2007,65377,2007-12-14,Gaz,Automatique,130,Euro 3,Noir,Break,Espagne,36000,17544.0
Dacia,Sandero,2016,137404,2016-08-02,Essence,Manuelle,110,Euro 5,Blanc,Crossover,Allemagne,15900,10080.0
Renault,Megane,2010,32455,2012-07-07,Hybride,Manuelle,110,Euro 1,Gris,Berline,Japon,25000,16005.0
Toyota,Hilux,2005,92828,2005-06-13,Gaz,Manuelle,200,Euro 3,Blanc,Monospace,France,45000,16490.0
Toyota,RAV4,2005,126903,2006-06-26,Essence,Automatique,90,Euro 3,Noir,Berline,Espagne,37000,12059.0
BMW,Serie 3,2009,102589,2010-02-11,Diesel,Automatique,130,Euro 3,Rouge,Crossover,Allemagne,45000,21735.0
Mercedes,GLC,2020,161894,2021-02-16,Electrique,Manuelle,150,Euro 1,Noir,Berline,USA,85000,65880.0
Audi,A4,2010,193789,2012-12-21,Hybride,Manuelle,130,Euro 1,Bleu,SUV,Japon,48000,20397.0
Volkswagen,Arteon,2010,147978,2013-10-23,Diesel,Automatique,90,Euro 4,Gris,Monospace,USA,48000,22396.0
Ford,Focus,2013,24337,2015-02-18,Essence,Manuelle,130,Euro 4,Rouge,Berline,USA,26000,17095.0
Hyundai,i20,2012,53552,2015-04-19,Gaz,Automatique,90,Euro 4,Blanc,Monospace,Italie,19500,14101.0
Peugeot,308,2019,21351,2021-09-17,Gaz,Automatique,130,Euro 5,Bleu,Monospace,Japon,30000,28884.0
Dacia,Sandero,2011,160759,2013-08-27,Hybride,Manuelle,150,Euro 1,Gris,SUV,Espagne,15900,9180.0
Tesla,Model X,2014,84917,2017-02-22,Hybride,Manuelle,90,Euro 1,Noir,Monospace,Allemagne,120000,76818.0
Volkswagen,Tiguan,2007,211928,2010-05-14,Gaz,Automatique,130,Euro 3,Rouge,Crossover,Espagne,40000,12544.0
Volkswagen,Passat,2006,75847,2008-05-04,Essence,Automatique,110,Euro 3,Rouge,Break,Allemagne,36000,14859.0
Hyundai,Tucson,2024,199825,2025-10-08,Essence,Manuelle,90,Euro 6,Bleu,Monospace,Italie,35000,28269.0
Peugeot,308,2010,243466,2010-10-07,Gaz,Manuelle,200,Euro 4,Blanc,Crossover,France,30000,11390.0
Mercedes,GLC,2008,182871,2009-12-22,Diesel,Automatique,130,Euro 3,Gris,Monospace,Italie,85000,30022.0
Mercedes,GLC,2024,54430,2026-04-16,Diesel,Manuelle,200,Euro 6,Gris,Monospace,France,85000,82650.0
BMW,X5,2015,179297,2017-05-01,Hybride,Automatique,130,Euro 1,Bleu,SUV,USA,80000,48328.0
Mercedes,Classe E,2019,15242,2021-06-08,Diesel,Manuelle,110,Euro 5,Bleu,Monospace,France,75000,63924.0
Mercedes,GLC,2019,202659,2020-04-20,Gaz,Manuelle,200,Euro 5,Blanc,SUV,Japon,85000,57525.0
BMW,X5,2018,162144,2021-06-02,Electrique,Automatique,130,Euro 1,Noir,Monospace,France,80000,58278.0
Citroen,C3,2018,223558,2018-10-11,Gaz,Automatique,150,Euro 5,Gris,Monospace,Espagne,16000,12600.0
Volkswagen,Passat,2005,153495,2008-05-14,Gaz,Automatique,150,Euro 3,Rouge,Crossover,Italie,36000,11480.0
Mercedes,Classe E,2005,60068,2007-10-06,Essence,Automatique,200,Euro 3,Rouge,Break,Allemagne,75000,28860.0
Citroen,C5 Aircross,2005,147610,2005-10-25,Diesel,Manuelle,110,Euro 3,Rouge,SUV,Italie,35000,10469.0
Volkswagen,Tiguan,2013,20049,2015-09-04,Essence,Automatique,90,Euro 4,Gris,Crossover,Allemagne,40000,27235.0
Renault,Clio,2010,92150,2011-01-11,Diesel,Manuelle,150,Euro 4,Rouge,SUV,USA,17000,9065.0
Mercedes,Classe E,2021,82992,2024-06-19,Gaz,Automatique,200,Euro 6,Gris,Berline,Japon,75000,66815.0
Peugeot,308,2018,73300,2019-02-25,Diesel,Automatique,150,Euro 5,Blanc,Berline,USA,30000,25125.0
Kia,Sportage,2017,64836,2018-06-06,Gaz,Manuelle,130,Euro 5,Rouge,Break,Espagne,34000,26864.0
Dacia,Sandero,2022,187974,2023-05-26,Gaz,Manuelle,90,Euro 6,Bleu,Monospace,Espagne,15900,13908.0
Tesla,Model 3,2018,198437,2020-03-02,Gaz,Automatique,130,Euro 5,Rouge,SUV,Italie,45000,31374.0
Renault,Megane,2023,141383,2026-03-22,Hybride,Manuelle,130,Euro 1,Rouge,Break,Allemagne,25000,24319.0
Audi,A3,2010,64793,2010-05-21,Diesel,Automatique,200,Euro 4,Gris,Crossover,France,34000,19760.0
Kia,Rio,2008,36735,2009-09-04,Gaz,Manuelle,90,Euro 3,Blanc,Berline,Japon,18900,10437.0
Peugeot,308,2022,136009,2023-06-27,Diesel,Manuelle,110,Euro 6,Blanc,Berline,Allemagne,30000,25191.0
Volkswagen,Tiguan,2010,156737,2013-01-03,Hybride,Manuelle,110,Euro 1,Gris,Monospace,Espagne,40000,18963.0
Hyundai,i20,2010,91598,2013-06-11,Hybride,Automatique,90,Euro 1,Gris,Crossover,Allemagne,19500,12446.0
Citroen,C4,2024,124223,2024-01-20,Essence,Manuelle,90,Euro 6,Rouge,Berline,USA,24000,21032.0
Hyundai,i30,2024,186207,2026-05-09,Gaz,Automatique,200,Euro 6,Gris,SUV,France,22000,22550.0
Renault,Megane,2009,10584,2011-03-07,Essence,Manuelle,110,Euro 3,Blanc,Monospace,Japon,25000,13554.0
Citroen,C3,2019,183223,2020-08-01,Hybride,Automatique,200,Euro 1,Noir,SUV,Japon,16000,15410.0
Peugeot,208,2009,44088,2011-05-20,Essence,Automatique,90,Euro 3,Gris,Monospace,USA,18000,10149.0
Audi,A4,2008,246305,2008-06-16,Diesel,Automatique,200,Euro 3,Gris,Break,Allemagne,48000,14560.0
Tesla,Model X,2019,184239,2019-12-10,Diesel,Manuelle,200,Euro 5,Gris,Break,Japon,120000,81740.0
Peugeot,308,2021,100954,2021-07-30,Essence,Manuelle,150,Euro 6,Bleu,Berline,USA,30000,24705.0
Toyota,Yaris,2020,148386,2022-07-01,Gaz,Manuelle,130,Euro 6,Noir,Crossover,Espagne,19000,16132.0
Kia,Ceed,2024,101858,2024-12-22,Gaz,Automatique,110,Euro 6,Blanc,Break,France,23000,24840.0
Peugeot,208,2005,136700,2008-02-20,Diesel,Automatique,200,Euro 3,Blanc,Crossover,Espagne,18000,6600.0
Renault,Megane,2017,170750,2019-09-27,Hybride,Automatique,90,Euro 1,Blanc,Break,USA,25000,19158.0
BMW,Serie 3,2011,38624,2011-09-06,Diesel,Automatique,130,Euro 4,Blanc,Crossover,Japon,45000,28014.0
Hyundai,i30,2016,38860,2019-07-20,Essence,Manuelle,150,Euro 5,Noir,SUV,Allemagne,22000,16425.0
Peugeot,3008,2013,191952,2016-04-11,Gaz,Manuelle,150,Euro 4,Blanc,SUV,France,35000,18240.0
Tesla,Model S,2008,48109,2010-05-30,Gaz,Automatique,200,Euro 3,Bleu,Crossover,Allemagne,95000,48240.0
Toyota,Yaris,2010,232892,2010-09-14,Gaz,Manuelle,90,Euro 4,Gris,Monospace,Allemagne,19000,7490.0
BMW,Serie 5,2023,65647,2023-11-23,Diesel,Manuelle,110,Euro 6,Rouge,Crossover,Italie,65000,60151.0
Dacia,Duster,2013,11617,2015-03-15,Diesel,Manuelle,90,Euro 4,Blanc,Berline,USA,19900,13728.0
Ford,Kuga,2006,229850,2008-07-13,Gaz,Manuelle,150,Euro 3,Blanc,Monospace,Espagne,34000,8880.0
Citroen,C3,2008,117461,2011-04-23,Gaz,Manuelle,150,Euro 3,Noir,SUV,Espagne,16000,7790.0
Citroen,C3,2019,211237,2019-01-21,Gaz,Automatique,150,Euro 5,Bleu,Monospace,USA,16000,13440.0
Toyota,RAV4,2019,45706,2020-10-02,Hybride,Manuelle,200,Euro 1,Bleu,Berline,Italie,37000,34020.0
Volkswagen,Golf,2023,220097,2026-05-29,Diesel,Manuelle,200,Euro 6,Gris,Berline,France,25000,20250.0
Mercedes,GLC,2005,114422,2007-02-01,Gaz,Automatique,110,Euro 3,Blanc,Crossover,France,85000,28672.0
Volkswagen,Tiguan,2008,71004,2009-06-27,Essence,Automatique,90,Euro 3,Blanc,Berline,Italie,40000,18855.0
Volkswagen,Passat,2015,147156,2017-07-19,Gaz,Automatique,200,Euro 5,Noir,SUV,Italie,36000,24485.0
Mercedes,GLC,2005,212666,2007-03-03,Diesel,Automatique,90,Euro 3,Blanc,Monospace,Japon,85000,19338.0
Ford,Fiesta,2009,212387,2011-10-24,Diesel,Manuelle,90,Euro 3,Gris,Crossover,Espagne,18000,6426.0
Tesla,Model S,2006,67611,2008-06-03,Essence,Automatique,200,Euro 3,Bleu,Crossover,Italie,95000,39200.0
Hyundai,Tucson,2022,217677,2023-03-12,Diesel,Manuelle,110,Euro 6,Rouge,Monospace,Espagne,35000,26353.0
Audi,A6,2009,21260,2010-08-09,Essence,Automatique,110,Euro 3,Blanc,Monospace,Allemagne,72000,39273.0
Mercedes,Classe E,2018,211517,2020-06-09,Diesel,Automatique,110,Euro 5,Bleu,SUV,Allemagne,75000,47641.0
Dacia,Duster,2016,137901,2017-04-19,Gaz,Automatique,90,Euro 5,Noir,SUV,Italie,19900,15309.0
Mercedes,GLC,2011,149535,2012-07-21,Gaz,Manuelle,150,Euro 4,Rouge,Berline,Espagne,85000,41360.0
Toyota,Corolla,2014,18890,2015-02-15,Essence,Automatique,150,Euro 4,Rouge,SUV,France,28000,21045.0
Dacia,Spring,2018,26128,2021-09-11,Gaz,Manuelle,130,Euro 5,Noir,Break,Japon,22000,19840.0
Hyundai,i30,2005,33370,2007-04-13,Gaz,Automatique,200,Euro 3,Rouge,SUV,Japon,22000,11000.0
BMW,Serie 1,2021,103978,2023-09-27,Essence,Manuelle,150,Euro 6,Blanc,Crossover,Allemagne,35000,28755.0
Dacia,Spring,2014,141820,2014-01-13,Diesel,Automatique,110,Euro 4,Blanc,Crossover,Japon,22000,14056.0
Tesla,Model X,2023,34989,2026-01-04,Diesel,Automatique,150,Euro 6,Gris,SUV,USA,120000,116090.0
Renault,Captur,2008,31010,2009-03-24,Diesel,Automatique,150,Euro 3,Blanc,Break,USA,28000,15435.0
Mercedes,Classe A,2012,98952,2015-10-21,Essence,Manuelle,90,Euro 4,Noir,Break,Espagne,38000,20845.0
Volkswagen,Arteon,2019,153198,2022-09-23,Diesel,Manuelle,90,Euro 5,Gris,Crossover,Japon,48000,34230.0
Ford,Focus,2007,225055,2008-04-18,Gaz,Automatique,150,Euro 3,Rouge,SUV,Espagne,26000,8370.0
Renault,Megane,2016,62396,2017-07-31,Diesel,Manuelle,150,Euro 5,Noir,SUV,USA,25000,18550.0
Peugeot,5008,2008,207844,2009-06-02,Essence,Manuelle,130,Euro 3,Gris,SUV,Allemagne,42000,13536.0
Tesla,Model S,2016,114703,2019-02-22,Gaz,Automatique,150,Euro 5,Gris,Berline,Allemagne,95000,65000.0
Toyota,Hilux,2009,131104,2010-04-06,Essence,Manuelle,200,Euro 3,Rouge,SUV,Japon,45000,19320.0
Citroen,C5 Aircross,2005,210619,2005-08-06,Gaz,Automatique,90,Euro 3,Noir,Berline,Italie,35000,8668.0
Mercedes,GLC,2013,186676,2016-05-15,Gaz,Automatique,90,Euro 4,Gris,Break,USA,85000,43806.0
Citroen,C4,2018,84043,2019-08-03,Gaz,Automatique,200,Euro 5,Gris,Monospace,Allemagne,24000,21830.0
Mercedes,Classe A,2019,64578,2021-08-03,Hybride,Manuelle,90,Euro 1,Noir,Berline,Allemagne,38000,33101.0
Citroen,C4,2020,128031,2021-02-20,Gaz,Automatique,90,Euro 6,Noir,Crossover,Allemagne,24000,21584.0
Volkswagen,Tiguan,2014,40384,2016-05-17,Gaz,Automatique,130,Euro 4,Blanc,Monospace,Japon,40000,29568.0
Renault,Talisman,2017,210842,2019-10-30,Hybride,Manuelle,150,Euro 1,Blanc,Crossover,Japon,40000,25810.0
Audi,Q5,2016,13382,2018-11-25,Gaz,Automatique,90,Euro 5,Gris,Berline,France,65000,52050.0
Ford,Focus,2024,161346,2025-12-17,Gaz,Manuelle,90,Euro 6,Rouge,Monospace,Espagne,26000,23856.0
Kia,Ceed,2020,143392,2023-04-20,Diesel,Automatique,90,Euro 6,Gris,SUV,USA,23000,19166.0
Ford,Kuga,2011,239766,2014-05-21,Hybride,Manuelle,200,Euro 1,Blanc,SUV,USA,34000,14820.0
Kia,Ceed,2014,150091,2017-11-15,Diesel,Manuelle,150,Euro 4,Rouge,Berline,Japon,23000,13475.0
Mercedes,GLC,2005,96301,2008-11-28,Gaz,Manuelle,200,Euro 3,Rouge,Berline,Espagne,85000,30090.0
Citroen,C5 Aircross,2013,17193,2014-06-21,Diesel,Automatique,150,Euro 4,Bleu,Break,France,35000,25410.0
Ford,Fiesta,2015,44725,2015-07-03,Essence,Automatique,130,Euro 5,Rouge,Monospace,Allemagne,18000,14007.0
Hyundai,i30,2009,11556,2010-05-22,Essence,Manuelle,200,Euro 3,Blanc,Crossover,France,22000,12420.0
Dacia,Spring,2021,132318,2023-07-21,Diesel,Automatique,90,Euro 6,Noir,SUV,France,22000,19422.0
Dacia,Spring,2017,122290,2018-05-12,Gaz,Automatique,110,Euro 5,Bleu,Berline,France,22000,17822.0
Renault,Clio,2005,138468,2005-06-08,Diesel,Manuelle,200,Euro 3,Rouge,Crossover,France,17000,5700.0
Renault,Talisman,2015,29320,2015-09-17,Gaz,Manuelle,90,Euro 5,Bleu,Berline,Italie,40000,30104.0
Tesla,Model 3,2006,203959,2008-08-17,Diesel,Automatique,150,Euro 3,Blanc,Break,Japon,45000,12610.0
Citroen,C3,2022,118916,2025-01-10,Electrique,Manuelle,130,Euro 1,Bleu,Berline,Allemagne,16000,18509.0
Kia,Sportage,2018,31163,2018-08-13,Hybride,Automatique,150,Euro 1,Bleu,Crossover,France,34000,31995.0
Toyota,RAV4,2018,158728,2021-11-22,Diesel,Manuelle,150,Euro 5,Noir,Monospace,USA,37000,25795.0
Mercedes,GLC,2020,192635,2022-05-11,Electrique,Automatique,200,Euro 1,Noir,Break,Italie,85000,64860.0
BMW,Serie 5,2009,69259,2012-03-05,Essence,Manuelle,130,Euro 3,Noir,SUV,France,65000,31997.0
Kia,Rio,2023,194179,2025-11-09,Electrique,Manuelle,150,Euro 1,Blanc,Monospace,USA,18900,19812.0
BMW,Serie 1,2009,79151,2012-02-24,Gaz,Automatique,200,Euro 3,Rouge,Monospace,France,35000,19440.0
Kia,Sportage,2021,209774,2022-08-22,Hybride,Manuelle,130,Euro 1,Blanc,Berline,France,34000,27193.0
BMW,Serie 5,2011,80050,2014-05-11,Diesel,Automatique,130,Euro 4,Blanc,Break,USA,65000,36199.0
Citroen,C5 Aircross,2012,77314,2013-09-13,Essence,Automatique,130,Euro 4,Blanc,Berline,Japon,35000,21261.0
Citroen,C5 Aircross,2015,55835,2015-04-02,Gaz,Automatique,130,Euro 5,Noir,Monospace,France,35000,27064.0
Dacia,Duster,2008,178604,2011-11-25,Essence,Automatique,90,Euro 3,Gris,Berline,France,19900,7630.0
Kia,Sportage,2011,49020,2012-09-03,Essence,Automatique,200,Euro 4,Noir,Break,France,34000,21090.0
Tesla,Model S,2024,54298,2024-12-12,Essence,Manuelle,150,Euro 6,Gris,Berline,Espagne,95000,90725.0
Hyundai,Tucson,2013,56550,2014-09-14,Hybride,Manuelle,150,Euro 1,Blanc,Break,Allemagne,35000,24490.0
Tesla,Model 3,2007,106922,2008-12-07,Essence,Manuelle,130,Euro 3,Bleu,SUV,USA,45000,17667.0
Renault,Clio,2005,66462,2007-11-29,Gaz,Manuelle,200,Euro 3,Rouge,Crossover,Allemagne,17000,7585.0
Renault,Captur,2015,84620,2016-01-01,Diesel,Manuelle,130,Euro 5,Gris,Crossover,France,28000,19045.0
Ford,Focus,2017,87583,2020-09-26,Diesel,Automatique,150,Euro 5,Rouge,Monospace,Japon,26000,20945.0
Renault,Megane,2010,36637,2013-11-27,Gaz,Automatique,110,Euro 4,Rouge,Crossover,USA,25000,16280.0
Hyundai,Tucson,2005,159701,2008-01-27,Gaz,Automatique,130,Euro 3,Bleu,Break,Allemagne,35000,11144.0
Hyundai,i20,2006,191465,2007-11-27,Essence,Manuelle,90,Euro 3,Gris,Monospace,Italie,19500,5238.0
Ford,Kuga,2009,75641,2009-04-10,Gaz,Manuelle,150,Euro 3,Blanc,Berline,France,34000,17760.0
Audi,A6,2006,218704,2008-05-06,Gaz,Automatique,200,Euro 3,Noir,Break,Italie,72000,19375.0
Renault,Clio,2018,173224,2018-12-20,Essence,Manuelle,90,Euro 5,Bleu,Berline,Italie,17000,10985.0
Volkswagen,Arteon,2020,142248,2023-06-19,Gaz,Manuelle,90,Euro 6,Bleu,SUV,Allemagne,48000,37296.0
Renault,Captur,2016,15866,2016-06-11,Gaz,Manuelle,150,Euro 5,Noir,Crossover,Japon,28000,23250.0
Mercedes,Classe C,2019,239866,2020-04-04,Essence,Manuelle,110,Euro 5,Rouge,Break,France,55000,34162.0
Ford,Fiesta,2014,185428,2015-05-31,Hybride,Manuelle,150,Euro 1,Gris,Crossover,Japon,18000,11700.0
Audi,A3,2019,98230,2019-02-15,Gaz,Manuelle,110,Euro 5,Bleu,Berline,Japon,34000,27816.0
Volkswagen,Passat,2017,67468,2020-06-13,Essence,Automatique,110,Euro 5,Blanc,Berline,Italie,36000,27813.0
Hyundai,Tucson,2012,210085,2015-11-13,Hybride,Manuelle,110,Euro 1,Blanc,Berline,USA,35000,16813.0
Mercedes,Classe E,2016,101775,2018-11-12,Hybride,Automatique,150,Euro 1,Noir,Berline,Japon,75000,53790.0
Tesla,Model S,2009,159622,2009-12-14,Gaz,Manuelle,130,Euro 3,Gris,Monospace,Espagne,95000,39120.0
Hyundai,i20,2013,181228,2013-01-04,Diesel,Automatique,150,Euro 4,Gris,SUV,Allemagne,19500,11270.0
Volkswagen,Golf,2005,197186,2006-10-26,Gaz,Manuelle,200,Euro 3,Gris,SUV,Allemagne,25000,6840.0
Dacia,Spring,2014,192465,2017-08-16,Diesel,Automatique,200,Euro 4,Rouge,Crossover,Allemagne,22000,13260.0
Tesla,Model X,2019,76692,2021-07-02,Gaz,Manuelle,110,Euro 5,Noir,Crossover,Italie,120000,95628.0
Citroen,C5 Aircross,2007,236146,2007-11-26,Gaz,Manuelle,110,Euro 3,Noir,SUV,Japon,35000,9776.0
Hyundai,Tucson,2013,237944,2015-08-17,Gaz,Manuelle,130,Euro 4,Gris,Monospace,France,35000,16632.0
Peugeot,5008,2008,189663,2010-02-14,Gaz,Manuelle,130,Euro 3,Bleu,Monospace,Italie,42000,15232.0
Mercedes,Classe C,2008,17343,2009-01-24,Gaz,Automatique,130,Euro 3,Noir,Berline,USA,55000,30498.0
Kia,Sportage,2011,213906,2014-04-22,Essence,Manuelle,200,Euro 4,Bleu,Break,France,34000,14000.0
Ford,Fiesta,2023,222187,2026-01-09,Essence,Automatique,150,Euro 6,Bleu,Berline,USA,18000,15375.0
Peugeot,308,2005,229360,2007-06-28,Gaz,Manuelle,110,Euro 3,Noir,Berline,Espagne,30000,6846.0
Citroen,C3,2008,237635,2008-10-05,Essence,Manuelle,90,Euro 3,Rouge,Monospace,Italie,16000,4611.0
Mercedes,GLC,2024,83356,2027-02-12,Diesel,Manuelle,110,Euro 6,Noir,Crossover,Allemagne,85000,79212.0
Ford,Kuga,2020,233785,2023-01-23,Gaz,Manuelle,150,Euro 6,Blanc,Break,Allemagne,34000,24050.0
Volkswagen,Golf,2018,160141,2021-04-22,Electrique,Automatique,200,Euro 1,Blanc,Monospace,Italie,25000,22440.0
Volkswagen,Golf,2009,244795,2010-08-01,Essence,Automatique,110,Euro 3,Rouge,Berline,Italie,25000,8401.0
Toyota,Yaris,2012,186082,2014-11-27,Gaz,Manuelle,90,Euro 4,Gris,Monospace,Espagne,19000,9844.0
Peugeot,3008,2018,119636,2020-05-31,Diesel,Manuelle,130,Euro 5,Bleu,Berline,Italie,35000,25773.0
Audi,A6,2021,145908,2024-11-22,Hybride,Automatique,110,Euro 1,Bleu,SUV,Italie,72000,60137.0
Tesla,Model X,2010,179879,2013-11-01,Essence,Manuelle,90,Euro 4,Gris,Berline,Japon,120000,49159.0
Hyundai,Tucson,2014,134733,2016-02-22,Gaz,Automatique,130,Euro 4,Gris,Crossover,Espagne,35000,22686.0
Dacia,Spring,2015,87106,2016-10-07,Hybride,Manuelle,200,Euro 1,Noir,SUV,USA,22000,17550.0
Peugeot,5008,2017,126506,2018-05-08,Hybride,Manuelle,150,Euro 1,Rouge,SUV,Japon,42000,31155.0
Hyundai,Tucson,2010,160350,2011-12-07,Hybride,Automatique,130,Euro 1,Bleu,Berline,France,35000,17346.0
Toyota,RAV4,2020,28891,2020-09-17,Hybride,Automatique,110,Euro 1,Blanc,Monospace,USA,37000,37066.0
Audi,A6,2014,27096,2017-09-15,Diesel,Automatique,200,Euro 4,Rouge,Crossover,Espagne,72000,51680.0
Citroen,C5 Aircross,2024,188927,2027-12-09,Electrique,Manuelle,130,Euro 1,Noir,Break,Allemagne,35000,33866.0
BMW,X5,2023,36597,2026-06-08,Electrique,Manuelle,90,Euro 1,Rouge,SUV,France,80000,80746.0
Dacia,Sandero,2013,77202,2015-09-13,Hybride,Automatique,90,Euro 1,Blanc,SUV,Espagne,15900,13080.0
Dacia,Sandero,2011,118495,2012-03-03,Essence,Automatique,200,Euro 4,Rouge,Crossover,USA,15900,9450.0
Volkswagen,Tiguan,2016,181292,2017-03-07,Gaz,Manuelle,90,Euro 5,Bleu,Monospace,Allemagne,40000,24592.0
Mercedes,Classe A,2019,216822,2021-09-25,Electrique,Manuelle,150,Euro 1,Noir,SUV,France,38000,28480.0
Kia,Ceed,2008,208456,2008-12-21,Gaz,Manuelle,130,Euro 3,Noir,Crossover,France,23000,8256.0
Tesla,Model 3,2018,191193,2018-02-06,Electrique,Manuelle,90,Euro 1,Noir,Berline,USA,45000,32067.0
Ford,Kuga,2020,32738,2023-02-28,Electrique,Manuelle,90,Euro 1,Bleu,Break,Japon,34000,33915.0
Hyundai,i30,2020,141396,2021-03-04,Electrique,Manuelle,130,Euro 1,Bleu,Monospace,Allemagne,22000,20942.0
Hyundai,Tucson,2013,228575,2015-01-18,Essence,Manuelle,150,Euro 4,Rouge,Break,Allemagne,35000,15975.0
Tesla,Model 3,2023,202515,2026-09-03,Electrique,Manuelle,130,Euro 1,Bleu,SUV,USA,45000,39501.0
Hyundai,Tucson,2013,219935,2013-11-24,Gaz,Manuelle,150,Euro 4,Gris,Break,Allemagne,35000,17480.0
Volkswagen,Tiguan,2010,75221,2011-06-11,Hybride,Automatique,130,Euro 1,Noir,SUV,USA,40000,23613.0
Renault,Clio,2012,70228,2013-03-11,Essence,Automatique,130,Euro 4,Rouge,Monospace,Japon,17000,11001.0
BMW,X5,2006,244447,2009-05-30,Diesel,Automatique,130,Euro 3,Rouge,Berline,France,80000,18326.0
Citroen,C4,2005,113957,2008-09-17,Diesel,Automatique,130,Euro 3,Bleu,Crossover,Espagne,24000,8736.0
Volkswagen,Arteon,2013,227634,2013-01-14,Essence,Manuelle,90,Euro 4,Blanc,Berline,France,48000,21555.0
BMW,Serie 1,2024,174159,2027-11-14,Diesel,Manuelle,150,Euro 6,Blanc,Crossover,Japon,35000,30295.0
Citroen,C4,2007,183857,2008-09-02,Essence,Automatique,130,Euro 3,Bleu,Monospace,Italie,24000,8153.0
Dacia,Sandero,2010,174993,2011-07-22,Essence,Manuelle,90,Euro 4,Gris,Break,France,15900,6478.0
Audi,Q5,2017,188897,2019-04-10,Gaz,Manuelle,130,Euro 5,Rouge,Crossover,Italie,65000,41358.0
Volkswagen,Golf,2020,81921,2021-12-07,Hybride,Manuelle,90,Euro 1,Rouge,Break,USA,25000,23120.0
Tesla,Model 3,2021,36012,2021-01-14,Gaz,Manuelle,130,Euro 6,Bleu,Berline,Espagne,45000,42064.0
Peugeot,308,2014,103177,2015-08-26,Essence,Manuelle,90,Euro 4,Noir,Berline,Italie,30000,17940.0
Tesla,Model S,2011,124441,2014-01-04,Diesel,Automatique,110,Euro 4,Noir,Berline,Italie,95000,48069.0
Ford,Fiesta,2007,218250,2007-07-21,Diesel,Automatique,90,Euro 3,Blanc,SUV,Japon,18000,5852.0
Volkswagen,Tiguan,2006,131705,2006-04-11,Diesel,Manuelle,130,Euro 3,Gris,Break,Italie,40000,13629.0
Ford,Fiesta,2022,209187,2024-10-12,Gaz,Automatique,130,Euro 6,Rouge,Break,USA,18000,16872.0
Hyundai,Tucson,2021,132520,2021-01-11,Essence,Manuelle,150,Euro 6,Bleu,Crossover,Allemagne,35000,27690.0
Toyota,Corolla,2016,210824,2018-07-13,Gaz,Manuelle,200,Euro 5,Noir,Crossover,Italie,28000,17325.0
BMW,Serie 1,2024,34688,2024-03-21,Diesel,Manuelle,110,Euro 6,Rouge,Monospace,Japon,35000,35017.0
Ford,Kuga,2006,218884,2007-07-05,Essence,Manuelle,130,Euro 3,Noir,SUV,Italie,34000,8575.0
